wavelength,00:00:00.000,00:00:22.975,00:00:45.958,00:01:08.948,00:01:31.929,00:01:54.909,00:02:17.891,00:02:40.876,00:03:03.856,00:03:26.841,00:03:49.826,00:04:12.811,00:04:35.799,00:04:58.777,00:05:21.760,00:05:44.746,00:06:07.733,00:06:30.720,00:06:53.705,00:07:16.686,00:07:39.671,00:08:02.650,00:08:25.637,00:08:48.622,00:09:11.602,00:09:34.582,00:09:57.567,00:10:20.555,00:10:43.550,00:11:06.535
888,41.139496,40.905087,41.053516,40.958611,41.161362,41.148556,41.321457,41.177578,41.309578,41.160049,41.179649,41.205326,41.051582,41.283215,41.117054,41.027458,41.188141,41.025394,41.135334,41.101772,41.132328,40.839066,41.134048,40.81815,41.117218,40.843201,41.041611,41.157242,40.874542,40.885456
889,41.153831,40.920235,41.071072,40.965706,41.173275,41.164734,41.329823,41.189297,41.317425,41.174278,41.190407,41.222321,41.058521,41.301353,41.13179,41.037022,41.200436,41.038025,41.146248,41.114075,41.146248,40.85067,41.152958,40.83313,41.12508,40.850849,41.054485,41.175102,40.890583,40.896423
890,41.168911,40.939198,41.087517,40.985271,41.200142,41.183258,41.360012,41.215969,41.341686,41.195805,41.213383,41.242844,41.087975,41.324986,41.157696,41.064541,41.234257,41.060204,41.168221,41.134384,41.168221,40.868286,41.175438,40.848045,41.150482,40.871353,41.083473,41.188404,40.905441,40.919182
891,41.184399,40.958668,41.104404,41.005371,41.227741,41.202274,41.391026,41.243359,41.366611,41.217918,41.236984,41.26392,41.118225,41.349262,41.184299,41.092804,41.268986,41.082981,41.190796,41.155247,41.190796,40.886383,41.198524,40.863361,41.176567,40.89241,41.113243,41.202068,40.9207,40.942558
892,41.20031,40.978676,41.121754,41.026016,41.256092,41.221817,41.42289,41.2715,41.392212,41.240635,41.26123,41.285576,41.149303,41.374207,41.211632,41.121845,41.304672,41.106388,41.213985,41.176682,41.213985,40.904976,41.222244,40.879097,41.203369,40.914047,41.143833,41.216106,40.936378,40.966572
893,41.220844,40.99501,41.13876,41.043037,41.271549,41.240459,41.450665,41.294712,41.41851,41.260899,41.281754,41.303448,41.163532,41.399483,41.233643,41.142242,41.336327,41.122311,41.235054,41.1936,41.246658,40.92247,41.243202,40.894638,41.226162,40.930035,41.160866,41.236378,40.953545,40.988354
894,41.243237,41.010571,41.156013,41.059307,41.283367,41.259224,41.477779,41.316895,41.44558,41.280838,41.301571,41.32053,41.172878,41.4254,41.254486,41.160423,41.367405,41.136272,41.255917,41.209488,41.282944,40.939999,41.263748,40.910446,41.248199,40.94463,41.174091,41.259007,40.971535,41.009911
895,41.2663,41.026592,41.173782,41.076061,41.29554,41.278549,41.505707,41.339745,41.473465,41.301376,41.321976,41.338127,41.182499,41.452095,41.275951,41.179146,41.399418,41.15065,41.277405,41.225857,41.32032,40.958054,41.284912,40.926727,41.270897,40.959656,41.187714,41.28231,40.990067,41.032116
896,41.290817,41.044067,41.196957,41.096897,41.318138,41.297264,41.537605,41.366413,41.505539,41.323929,41.347862,41.363285,41.199657,41.479698,41.297947,41.200703,41.425137,41.169464,41.300945,41.244762,41.350483,40.974812,41.304214,40.944912,41.295467,40.978928,41.207909,41.308369,41.006229,41.054016
897,41.316895,41.063133,41.226147,41.122253,41.35239,41.315228,41.573883,41.397312,41.542236,41.348694,41.379837,41.39687,41.225235,41.508236,41.320488,41.225388,41.44371,41.193203,41.326721,41.266479,41.372463,40.99007,41.321373,40.965183,41.322071,41.002918,41.235443,41.337452,41.019695,41.07552
898,41.343792,41.082802,41.256248,41.148411,41.387722,41.333759,41.611309,41.42918,41.580086,41.374237,41.412823,41.431507,41.251621,41.537678,41.343735,41.250847,41.462872,41.217697,41.35331,41.288879,41.395142,41.005814,41.339077,40.986092,41.349514,41.027664,41.263844,41.367455,41.033585,41.097698
899,41.369572,41.102161,41.283165,41.172817,41.41819,41.350819,41.644444,41.456886,41.614582,41.39798,41.441864,41.46262,41.2747,41.56432,41.364017,41.272514,41.478828,41.239101,41.377857,41.311115,41.415184,41.019314,41.357914,41.004559,41.373577,41.050358,41.288357,41.395515,41.049446,41.11755
